# File: A44.subsector_shrwt_low_fossil.csv
# Title: Building default subsector shareweights for fossil fuel phase-out
# Units: Unitless
# Column types: ccccn
# ----------
supplysector,subsector,year.fillout,year,share.weight
resid heating,biomass,start-year,,1
resid heating,coal,start-year,,1
resid heating,coal,2050,,0
resid heating,coal,end-year,,0
resid heating,electricity,start-year,,1
resid heating,electricity,2050,,1
resid heating,electricity,end-year,,1
resid heating,gas,start-year,,1
resid heating,gas,2050,,0
resid heating,gas,end-year,,0
resid heating,refined liquids,start-year,,1
resid heating,refined liquids,2050,,0
resid heating,refined liquids,end-year,,0
resid heating,traditional biomass,start-year,,1
resid heating,district heat,start-year,,1
resid cooling,electricity,start-year,,1
resid cooling,electricity,2050,,1
resid cooling,electricity,end-year,,1
resid cooling,gas,start-year,,1
resid cooling,gas,2050,,0
resid cooling,gas,end-year,,0
resid others,biomass,start-year,,1
resid others,coal,start-year,,1
resid others,coal,2050,,0
resid others,coal,end-year,,0
resid others,electricity,start-year,,1
resid others,electricity,2050,,1
resid others,electricity,end-year,,1
resid others,gas,start-year,,1
resid others,gas,2050,,0
resid others,gas,end-year,,0
resid others,refined liquids,start-year,,1
resid others,refined liquids,2050,,0
resid others,refined liquids,end-year,,0
resid others,traditional biomass,start-year,,1
resid others,district heat,start-year,,1
comm heating,biomass,start-year,,1
comm heating,coal,start-year,,1
comm heating,coal,2050,,0
comm heating,coal,end-year,,0
comm heating,electricity,start-year,,1
comm heating,electricity,2050,,1
comm heating,electricity,end-year,,1
comm heating,gas,start-year,,1
comm heating,gas,2050,,0
comm heating,gas,end-year,,0
comm heating,refined liquids,start-year,,1
comm heating,refined liquids,2050,,0
comm heating,refined liquids,end-year,,0
comm heating,district heat,start-year,,1
comm cooling,electricity,start-year,,1
comm cooling,electricity,2050,,1
comm cooling,electricity,end-year,,1
comm cooling,gas,start-year,,1
comm cooling,gas,2050,,0
comm cooling,gas,end-year,,0
comm others,biomass,start-year,,1
comm others,coal,start-year,,1
comm others,coal,2050,,0
comm others,coal,end-year,,0
comm others,electricity,start-year,,1
comm others,electricity,2050,,1
comm others,electricity,end-year,,1
comm others,gas,start-year,,1
comm others,gas,2050,,0
comm others,gas,end-year,,0
comm others,refined liquids,start-year,,1
comm others,refined liquids,2050,,0
comm others,refined liquids,end-year,,0
comm others,district heat,start-year,,1
